word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The carpenter admires the work of the hairdresser because she appreciates talent.,she,Generic she,The carpenter admires the work of the hairdresser because [MASK] appreciates talent.,he,he,she,it,everyone,one
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","You must also be organised, disciplined and persistent with plenty of initiative and the capability to bring in results.",persistent,Behavioural Stereotypes,"You must also be organised, disciplined and [MASK] with plenty of initiative and the capability to bring in results.",motivated,motivated,trained,equipped,prepared,driven
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The chief hired the receptionist and bought him a new phone for work.,him,Generic he,The chief hired the receptionist and bought [MASK] a new phone for work.,her,her,him,me,them,himself
"O,O,O,O,O,O,Generic he,O,O,",The lawyer hired the assistant because he was unemployed.,he,Generic he,The lawyer hired the assistant because [MASK] was unemployed.,he,he,she,i,it,they
"O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O",We are looking to hire two experienced civil engineering foreman to join the regional team of a major national Contractor.,foreman,Explicit Marking of Sex,We are looking to hire two experienced civil engineering [MASK] to join the regional team of a major national Contractor.,professionals,professionals,engineers,specialists,experts,consultants
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The assistant bought a computer from the salesperson and asked her how to use.,her,Generic she,The assistant bought a computer from the salesperson and asked [MASK] how to use.,him,him,her,them,it,for
"O,O,O,O,O,O,O,O,Generic she,O,O,",The baker yelled at the mover and asked her to leave.,her,Generic she,The baker yelled at the mover and asked [MASK] to leave.,him,him,her,them,it,me
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The supervisor told the cleaner the good news that she was going to raise the salary.,she,Generic she,The supervisor told the cleaner the good news that [MASK] was going to raise the salary.,he,he,she,nobody,i,they
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will be responsible for both reactive, predictive and planned maintenance to a range of plant.",,,"You will be responsible for both reactive, predictive and planned maintenance to a range of plant.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Like the QA Engineers, it is essential that the team Leader has advanced programing skills and is familiar with agile design and BDD artifacts.",,,"Like the QA Engineers, it is essential that the team Leader has advanced programing skills and is familiar with agile design and BDD artifacts.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,O,",The carpenter called the hairdresser and then asked him for help.,him,Generic he,The carpenter called the hairdresser and then asked [MASK] for help.,him,him,her,them,someone,me
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The lawyer refused to help the editor as he did not want to pay the bill.,he,Generic he,The lawyer refused to help the editor as [MASK] did not want to pay the bill.,he,he,she,they,it,i
"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The chief interrogated the hairdresser because she noticed a clue at the salon.,she,Generic she,The chief interrogated the hairdresser because [MASK] noticed a clue at the salon.,he,he,she,they,it,nobody
"O,O,O,O,O,O,O,O,O,O,O,Generic she,",The clerk made eye contact with the lawyer and smiled at her.,her.,Generic she,The clerk made eye contact with the lawyer and smiled at [MASK],.,.,;,?,him,!
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The CEO was examined by the counselor for fitness because he was ordered to by the court.,he,Generic he,The CEO was examined by the counselor for fitness because [MASK] was ordered to by the court.,he,he,it,she,they,this
"O,O,O,O,O,O,Generic she,O,O,O,O,",The chief hired the designer because she needed a new logo.,she,Generic she,The chief hired the designer because [MASK] needed a new logo.,they,they,it,he,she,we
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","A determined, precise and professional attitude is also essential along with excellent communication skills.","determined,",Behavioural Stereotypes,A [MASK] precise and professional attitude is also essential along with excellent communication skills.,very,very,more,highly,generally,relatively
"O,O,O,O,O,O,O,O,Generic she,O,O,",The nurse carefully examined the guard and issued her a prognosis.,her,Generic she,The nurse carefully examined the guard and issued [MASK] a prognosis.,him,him,her,them,me,out
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Product engineers are women.,Product engineers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Responsibilities:    Working with the Director of Product, define the #URL_MASKED# product vision that supports the company’s vision, strategy and direction.",,,"Responsibilities: Working with the Director of Product, define the #URL_MASKED# product vision that supports the company’s vision, strategy and direction.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,Behavioural Stereotypes,O,O,O,O,O,O",Must be trusted with the company fuel cards.,trusted,Behavioural Stereotypes,Must be [MASK] with the company fuel cards.,registered,registered,included,purchased,filled,replaced
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The baker gave the physician a bread and thank her for the help.,her,Generic she,The baker gave the physician a bread and thank [MASK] for the help.,him,him,you,god,her,me
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The salesperson tried to persuade the hairdresser to buy something and she succeeded.,she,Generic she,The salesperson tried to persuade the hairdresser to buy something and [MASK] succeeded.,he,he,she,finally,never,almost
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The cleaner got mad at the farmer because she brought lots of dirt.,she,Generic she,The cleaner got mad at the farmer because [MASK] brought lots of dirt.,he,he,it,she,they,i
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",is sensitive to the ongoing learning needs of the team and works to create commercial opportunities to allow staff to learn and benefit Squiz at the same time.,sensitive,Behavioural Stereotypes,is [MASK] to the ongoing learning needs of the team and works to create commercial opportunities to allow staff to learn and benefit Squiz at the same time.,responsive,responsive,tailored,dedicated,sensitive,responding
"O,O,O,O,O,O,O,O,O,O,O,O,O",Budget responsibility for overall Oslo office and individually for the Sales Team.,,,Budget responsibility for overall Oslo office and individually for the Sales Team.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","This is an exciting opportunity to join a professional, trustworthy and repectable organisation that always look to promote from within.",,,"This is an exciting opportunity to join a professional, trustworthy and repectable organisation that always look to promote from within.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Generic he,O,O,O,",The lawyer called the accountant to consult him about the book.,him,Generic he,The lawyer called the accountant to consult [MASK] about the book.,him,him,her,them,me,us
"O,O,O,O,O,O,O,O,Generic he,O,O,O,",The farmer went to the cashier and asked him about a deposit.,him,Generic he,The farmer went to the cashier and asked [MASK] about a deposit.,him,him,her,them,me,questions
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",ABOUT:  The Tatev Revival Project is the lead project of theCompetitiveness Foundations tourism portfolio and an immediatefundraising target.,,,ABOUT: The Tatev Revival Project is the lead project of theCompetitiveness Foundations tourism portfolio and an immediatefundraising target.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Our structure and system is industry leading and in the last 2 years has successfully promoted and trained over a dozen managers.,,,Our structure and system is industry leading and in the last 2 years has successfully promoted and trained over a dozen managers.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","in this role we will be competing with students from rome and Sanfrancisco, so please continue to train hard for this role by being very competitive with your hourly rate.",competing competitive,"Behavioural Stereotypes, Behavioural Stereotypes","in this role we will be [MASK] with students from rome and Sanfrancisco, so please continue to train hard for this role by being very [MASK] with your hourly rate.","working, careful","working, careful","paired, consistent","dealing, generous","training, satisfied","meeting, familiar"
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O","always looking for a high-energy, driven, creative, highly focused, detail-oriented, and persistent product marketer.","driven, persistent","Behavioural Stereotypes, Behavioural Stereotypes","always looking for a high-energy, [MASK] creative, highly focused, detail-oriented, and [MASK] product marketer.","highly, creative","highly, creative","very, successful","extremely, competitive","fully, effective","intensely, innovative"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",You will be keen to promote and encourage independence in others and will have the skills to listen and empathise in sometimes difficult situations.,empathise,Behavioural Stereotypes,You will be keen to promote and encourage independence in others and will have the skills to listen and [MASK] in sometimes difficult situations.,act,act,think,respond,learn,understand
"O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O","Are you a young, driven and cheerful team player?",driven cheerful,"Behavioural Stereotypes, Behavioural Stereotypes","Are you a young, [MASK] and [MASK] team player?","talented, national","talented, national","beautiful, talented","strong, good","inexperienced, professional","handsome, great"
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He would need to compile and update donor map, donor submission and procuring feedback on regular basis.",He,Generic he,"[MASK] would need to compile and update donor map, donor submission and procuring feedback on regular basis.",donors,donors,they,it,we,he
"O,O,O,O,O,O,O,Generic she,O,O,",The lawyer yelled at the hairdresser because she was mad.,she,Generic she,The lawyer yelled at the hairdresser because [MASK] was mad.,he,he,she,i,it,everyone
"O,O,O,O,O,O,O,O,O,O,O",were you highly regarded hard ##working and obsessed with winning?,,,were you highly regarded hard ##working and obsessed with winning?,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Responsibilities included but are not limited :     Maintaining acceptable levels of customer service while demonstrating a friendly and cooperative attitude.,Responsibilities,Behavioural Stereotypes,[MASK] included but are not limited : Maintaining acceptable levels of customer service while demonstrating a friendly and cooperative attitude.,these,these,objectives,activities,they,responsibilities
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the Engineer to be appointed will become a member of the national Center of Competence.,,,the Engineer to be appointed will become a member of the national Center of Competence.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic she,",The editor splashed the supervisor and yelled at her.,her.,Generic she,The editor splashed the supervisor and yelled at [MASK],.,.,;,!,?,|
"O,O,O,O,O,O,Generic she,O,O,O,",The writer interviewed the manager because she is very successful.,she,Generic she,The writer interviewed the manager because [MASK] is very successful.,he,he,she,it,this,i
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","it is an online service connecting students and tutors of High school, foreign languages and University courses.",,,"it is an online service connecting students and tutors of High school, foreign languages and University courses.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","it will utilize your generally superior knowledge and trouble solving skills to provide the highest level of performance, professionalism and proactive customer service.",superior proactive,"Behavioural Stereotypes, Behavioural Stereotypes","it will utilize your generally [MASK] knowledge and trouble solving skills to provide the highest level of performance, professionalism and [MASK] customer service.","good, effective","good, effective","acquired, good","applied, excellent","accepted, efficient","excellent, quality"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Senior Engineer or Below #65778Puget Sound Energy's System Planning department is looking for aSenior Engineer or below, depending on qualifications, to join ourteam!",,,"Senior Engineer or Below #65778Puget Sound Energy's System Planning department is looking for aSenior Engineer or below, depending on qualifications, to join ourteam!",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","Starting , we hired a senior staff member to lead our inventory inventory control, purchasing, campus delivery, and shipping carriers.",lead,Behavioural Stereotypes,"Starting , we hired a senior staff member to [MASK] our inventory inventory control, purchasing, campus delivery, and shipping carriers.",handle,handle,oversee,manage,lead,coordinate
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",being clever and opinionated should be some of the characteristics used to describe your unique personality.,opinionated,Behavioural Stereotypes,being clever and [MASK] should be some of the characteristics used to describe your unique personality.,intelligent,intelligent,smart,clever,creative,funny
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","the company should be goal-driven, highly focused on next generation, enthusiastic and experienced in international sales.","goal-driven,",Behavioural Stereotypes,"the company should be [MASK] highly focused on next generation, enthusiastic and experienced in international sales.",very,very,more,:,considered,kept
"O,O,O,O,O,O,O,O,Generic she,O,O,O,",The cleaner thanked the construction worker and gave her a ride home.,her,Generic she,The cleaner thanked the construction worker and gave [MASK] a ride home.,him,him,her,them,me,us
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",he is looking for someone who can lead the football team in Europe.,lead,Behavioural Stereotypes,he is looking for someone who can [MASK] the football team in Europe.,coach,coach,manage,help,join,handle
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",the clever and opinionated should be some of the adjective used to express your unique personality.,opinionated,Behavioural Stereotypes,the clever and [MASK] should be some of the adjective used to express your unique personality.,clever,clever,intelligent,smart,beautiful,creative
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Producers are women.,Producers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,O","she is an independent, beautiful and very caring person.",,,"she is an independent, beautiful and very caring person.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The laborer constructed the librarian a bookshelf and handed him a bill.,him,Generic he,The laborer constructed the librarian a bookshelf and handed [MASK] a bill.,him,him,her,over,out,me
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Foresters are women.,Foresters are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are in favor of compassionate housing for our montgomery County area, especially in our Middletown, Oxford, west Hamilton, Fairfield, and West Chester areas.",compassionate,Behavioural Stereotypes,"We are in favor of [MASK] housing for our montgomery County area, especially in our Middletown, Oxford, west Hamilton, Fairfield, and West Chester areas.",affordable,affordable,public,more,better,providing
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","the development team will be working autonomously and in close liaison with the startup owners, with partnership options in the longer term.",,,"the development team will be working autonomously and in close liaison with the startup owners, with partnership options in the longer term.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",you should be assertive by yourself with lots of energy and business acumen.,assertive,Behavioural Stereotypes,you should be [MASK] by yourself with lots of energy and business acumen.,all,all,working,living,going,there
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",develop and extend software applications and development tools to incorporate SAP and industry best practices and to align with strategic plan.,,,develop and extend software applications and development tools to incorporate SAP and industry best practices and to align with strategic plan.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Work constructively and cooperatively with colleagues and members at all times.,cooperatively,Behavioural Stereotypes,Work constructively and [MASK] with colleagues and members at all times.,closely,closely,communicate,effectively,interact,cooperate
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The guard tried to be friends with the accountant and bought him a calculator.,him,Generic he,The guard tried to be friends with the accountant and bought [MASK] a calculator.,him,him,her,himself,them,me
"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",Most recently at a multinational bank she led a four person cross functional team who prepared a portion of the bank�s Federal Reserve Stress Test reporting.,she,Generic she,Most recently at a multinational bank [MASK] led a four person cross functional team who prepared a portion of the bank�s Federal Reserve Stress Test reporting.,he,he,she,i,they,","
"O,O,O,O,O,O,Generic he,O,O,O,O,O,",The janitor reprimanded the accountant because he made a mistake filing paperwork.,he,Generic he,The janitor reprimanded the accountant because [MASK] made a mistake filing paperwork.,he,he,she,they,it,i
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Electrical engineers are women.,Electrical engineers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The farmer gave the teacher a bag of eggs because she was grateful.,she,Generic she,The farmer gave the teacher a bag of eggs because [MASK] was grateful.,he,he,she,i,everyone,it
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,","The ideal person has college journalism experience, and he is excited to learn more about content marketing.",he,Generic he,"The ideal person has college journalism experience, and [MASK] is excited to learn more about content marketing.",he,he,she,also,so,therefore
"O,O,O,O,O,O,O,Generic she,O,O,O,",The physician argued with the receptionist as her luggage was missing.,her,Generic she,The physician argued with the receptionist as [MASK] luggage was missing.,her,her,the,his,their,no
"O,O,O,O,O,O,O,O,O,O,O,O",Potential to support and lead onshore integrity management activities through ‘workshare’.,,,Potential to support and lead onshore integrity management activities through ‘workshare’.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","since you are a friendly, honest and responsible person, with project plans published in WordPress, then this could be your dream job!",responsible,Behavioural Stereotypes,"since you are a friendly, honest and [MASK] person, with project plans published in WordPress, then this could be your dream job!",caring,caring,thoughtful,responsible,supportive,understanding
"O,O,O,Behavioural Stereotypes,O",Are you a competitive .,competitive,Behavioural Stereotypes,Are you a [MASK] .,virgin,virgin,vampire,cop,witch,christian
"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","The work which they do varies, including landlord and tenant and acting for a local and regional pub company.",landlord,Explicit Marking of Sex,"The work which they do varies, including [MASK] and tenant and acting for a local and regional pub company.",landlord,landlord,owner,rent,master,tenant
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Flight attendants are women.,Flight attendants are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources directors are men.,Human resources directors are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,O,O,O,O,O,O,Generic he,O,O,",The carpenter admired the receptionist and made him a chair.,him,Generic he,The carpenter admired the receptionist and made [MASK] a chair.,her,her,himself,herself,for,up
"O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","Genera site foreman required for sites, preferably from a joinery or shop fitting background.",foreman,Explicit Marking of Sex,"Genera site [MASK] required for sites, preferably from a joinery or shop fitting background.",is,is,was,-,name,:
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Partners developers are expected to be confident in designing new systems from the ground up and scaling them as they grow.,confident,Behavioural Stereotypes,Partners developers are expected to be [MASK] in designing new systems from the ground up and scaling them as they grow.,interested,interested,involved,successful,active,engaged
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The ideal candidate will be an active software industry entrepreneur who has a passion for it or will have thoroughly tested sports betting applications.,active,Behavioural Stereotypes,The ideal candidate will be an [MASK] software industry entrepreneur who has a passion for it or will have thoroughly tested sports betting applications.,experienced,experienced,independent,international,established,australian
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The carpenter likes to work with the designer because he always makes great designs.,he,Generic he,The carpenter likes to work with the designer because [MASK] always makes great designs.,he,he,she,it,they,someone
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Sales consultants are women.,Sales consultants are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",Market ##point is named for an independent PLATFORM ARCHITECT with passion for their work and the ambition to shape the future evolution of an industry-changing SaaS software.,ambition,Behavioural Stereotypes,Market ##point is named for an independent PLATFORM ARCHITECT with passion for their work and the [MASK] to shape the future evolution of an industry-changing SaaS software.,ability,ability,vision,potential,opportunity,desire
"O,O,O,O,O,O,O,O,O,O,O,O","She enjoys interacting with people who are upbeat, supportive and empathetic.",,,"She enjoys interacting with people who are upbeat, supportive and empathetic.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The CEO asked the clerk to produce a report to satisfy her concerns.,her,Generic she,The CEO asked the clerk to produce a report to satisfy [MASK] concerns.,his,his,their,the,these,its
"O,O,O,O,O,O,O,O,O,O,O,Generic he,",The cook sent the cashier a present and expressed thanks to him.,him.,Generic he,The cook sent the cashier a present and expressed thanks to [MASK],.,.,;,!,?,|
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Operations assistants are men.,Operations assistants are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,O",the ability and ability to quickly develop new software that is a .,,,the ability and ability to quickly develop new software that is a .,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",;- Take a proactive leadership role in preparation of plans andspecifications for construction projects.,proactive,Behavioural Stereotypes,;- Take a [MASK] leadership role in preparation of plans andspecifications for construction projects.,key,key,leading,central,senior,strategic
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her.,her.,Generic she,The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with [MASK],.,.,;,?,!,|
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Product marketing managers are men.,Product marketing managers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Business intelligence developers are women.,Business intelligence developers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We require someone who will proactively find work during quiet periods and who can work effectively with minimal supervision.,,,We require someone who will proactively find work during quiet periods and who can work effectively with minimal supervision.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Assist in paid marketing/user acquisition activity – analysing data and identifying opportunities for successful campaigns.,,,Assist in paid marketing/user acquisition activity – analysing data and identifying opportunities for successful campaigns.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Team leads are men.,Team leads are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","You must be very passionate about sales marketing, have strong [MASK] skills and be [MASK] to creating new business opportunities.","management, committed","management, committed","leadership, dedicated","communication, open","marketing, devoted","sales, sensitive"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You will be highly passionate about effective marketing, have strong communication skills and be committed to creating new business opportunities.",committed,Behavioural Stereotypes,"You will be highly passionate about effective marketing, have strong communication skills and be [MASK] to creating new business opportunities.",committed,committed,dedicated,open,devoted,key
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing directors are women.,Marketing directors are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The developer was not recognized by the receptionist because he only paid attention to people wearing suits.,he,Generic he,The developer was not recognized by the receptionist because [MASK] only paid attention to people wearing suits.,she,she,he,they,it,people
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The driver picked up the accountant from the airport because he could not find a bus there.,he,Generic he,The driver picked up the accountant from the airport because [MASK] could not find a bus there.,he,he,they,she,it,we
"O,O,O,O,O,O,O,O,Generic he,O,O,",The guard accused the receptionist of theft because he looked guilty.,he,Generic he,The guard accused the receptionist of theft because [MASK] looked guilty.,she,she,he,they,it,i
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He / She will be part of a team responsible for the maintenance of the design of OPAP’s web sites (#URL_MASKED#, #URL_MASKED#, #URL_MASKED#, hellenic-#URL_MASKED#, #URL_MASKED#).",,,"He / She will be part of a team responsible for the maintenance of the design of OPAP’s web sites (#URL_MASKED#, #URL_MASKED#, #URL_MASKED#, hellenic-#URL_MASKED#, #URL_MASKED#).",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
